GioiTinh,TinhTrangHonNhan,NgheNghiep,KhuVuc,HinhThuc,Mang,TienDT,HonNhan
Nu,ChuaLapGiaDinh,NCKH,Bac,TraSau,Mobiphone,138,1
Nu,DangCoGiaDinh,TXCN,Trung,TraTruoc,Mobiphone,94,2
Nam,DangCoGiaDinh,KyThuat,Trung,TraTruoc,Viettel,191,2
Nu,DangCoGiaDinh,HSSV,Bac,TraTruoc,VinaPhone,64,2
Nu,DangCoGiaDinh,TXTN,Bac,TraSau,Mobiphone,73,2
Nu,ChuaLapGiaDinh,TXTN,Trung,TraSau,Viettel,72,1
Nu,LyHon,HanhChinh,Trung,TraTruoc,Mobiphone,130,3
Nu,DangCoGiaDinh,TXCN,Trung,TraTruoc,Viettel,74,2
Nu,DangCoGiaDinh,KyThuat,Nam,TraTruoc,Viettel,134,2
Nam,DangCoGiaDinh,CongNhan,Nam,TraTruoc,VinaPhone,132,2
Nam,LyHon,TXCN,Nam,TraTruoc,Mobiphone,124,3
Nam,ChuaLapGiaDinh,TXCN,Trung,TraSau,Viettel,136,1
Nu,LyHon,TXCN,Nam,TraTruoc,Viettel,97,3
Nam,DangCoGiaDinh,TXTN,Trung,TraSau,Mobiphone,176,2
Nu,ChuaLapGiaDinh,HanhChinh,Bac,TraTruoc,Viettel,139,1
Nam,ChuaLapGiaDinh,TXCN,Trung,TraTruoc,Mobiphone,148,1
Nam,DangCoGiaDinh,KyThuat,Bac,TraTruoc,Mobiphone,131,2
Nam,LyHon,HanhChinh,Nam,TraTruoc,VinaPhone,134,3
Nam,DangCoGiaDinh,CongNhan,Trung,TraSau,VinaPhone,48,2
Nu,ChuaLapGiaDinh,VHNT,Bac,TraTruoc,Viettel,163,1
Nam,ChuaLapGiaDinh,KyThuat,Trung,TraTruoc,VinaPhone,149,1
Nam,DangCoGiaDinh,VHNT,Bac,TraTruoc,Viettel,138,2
Nam,DangCoGiaDinh,TXCN,Nam,TraSau,Viettel,111,2
Nam,DangCoGiaDinh,TXCN,Bac,TraTruoc,Viettel,59,2
Nu,DangCoGiaDinh,KyThuat,Bac,TraTruoc,Viettel,140,2
Nu,DangCoGiaDinh,TXCN,Bac,TraTruoc,VinaPhone,120,2
Nu,ChuaLapGiaDinh,HanhChinh,Trung,TraTruoc,Mobiphone,70,1
Nu,LyHon,KyThuat,Trung,TraTruoc,Mobiphone,82,3
Nu,DangCoGiaDinh,TXCN,Trung,TraTruoc,Viettel,21,2
Nu,DangCoGiaDinh,TXCN,Bac,TraTruoc,Viettel,116,2
Nam,ChuaLapGiaDinh,KyThuat,Bac,TraTruoc,Viettel,121,1
Nu,DangCoGiaDinh,CongNhan,Bac,TraSau,Mobiphone,165,2
Nam,DangCoGiaDinh,NCKH,Bac,TraTruoc,VinaPhone,66,2
Nu,ChuaLapGiaDinh,CongNhan,Trung,TraSau,Viettel,154,1
Nam,DangCoGiaDinh,CongNhan,Nam,TraTruoc,VinaPhone,218,2
Nam,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,Viettel,169,2
Nam,ChuaLapGiaDinh,TXCN,Trung,TraSau,Mobiphone,75,1
Nam,ChuaLapGiaDinh,TXCN,Trung,TraTruoc,VinaPhone,211,1
Nam,DangCoGiaDinh,TXCN,Bac,TraTruoc,VinaPhone,44,2
Nu,LyHon,TXCN,Nam,TraTruoc,VinaPhone,170,3
Nam,ChuaLapGiaDinh,KyThuat,Trung,TraTruoc,VinaPhone,72,1
Nu,DangCoGiaDinh,CongNhan,Bac,TraTruoc,VinaPhone,95,2
Nu,LyHon,HanhChinh,Bac,TraTruoc,Viettel,18,3
Nu,DangCoGiaDinh,KyThuat,Trung,TraTruoc,Viettel,82,2
Nam,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,Mobiphone,130,1
Nam,ChuaLapGiaDinh,VHNT,Nam,TraSau,Mobiphone,212,1
Nam,DangCoGiaDinh,TXCN,Bac,TraTruoc,VinaPhone,0,2
Nam,ChuaLapGiaDinh,HSSV,Bac,TraTruoc,Mobiphone,197,1
Nam,ChuaLapGiaDinh,TXTN,Trung,TraSau,VinaPhone,110,1
Nu,DangCoGiaDinh,LaoDongDacBiet,Nam,TraTruoc,Mobiphone,214,2
Nam,ChuaLapGiaDinh,TXCN,Nam,TraSau,Viettel,62,1
Nu,DangCoGiaDinh,CongNhan,Trung,TraTruoc,Mobiphone,192,2
Nam,DangCoGiaDinh,TXTN,Trung,TraTruoc,Mobiphone,106,2
Nam,DangCoGiaDinh,TXCN,Nam,TraTruoc,Beeline,200,2
Nam,ChuaLapGiaDinh,TXCN,Nam,TraTruoc,VinaPhone,168,1
Nu,DangCoGiaDinh,TXTN,Nam,TraSau,Viettel,190,2
Nam,LyHon,CongNhan,Nam,TraTruoc,VinaPhone,114,3
Nu,DangCoGiaDinh,HanhChinh,Bac,TraSau,VinaPhone,40,2
Nam,DangCoGiaDinh,TXTN,Bac,TraTruoc,Mobiphone,99,2
Nam,ChuaLapGiaDinh,HSSV,Nam,TraSau,Viettel,211,1
Nu,DangCoGiaDinh,CongNhan,Nam,TraTruoc,VinaPhone,219,2
Nam,ChuaLapGiaDinh,KyThuat,Nam,TraTruoc,VinaPhone,149,1
Nu,DangCoGiaDinh,TXTN,Trung,TraSau,VinaPhone,79,2
Nam,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,Viettel,65,2
Nam,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,Mobiphone,226,1
Nu,DangCoGiaDinh,TXCN,Nam,TraSau,VinaPhone,162,2
Nam,LyHon,KyThuat,Nam,TraTruoc,Viettel,149,3
Nu,DangCoGiaDinh,CongNhan,Bac,TraTruoc,VinaPhone,156,2
Nu,ChuaLapGiaDinh,TXCN,Trung,TraTruoc,Viettel,96,1
Nu,DangCoGiaDinh,KyThuat,Nam,TraTruoc,Mobiphone,122,2
Nam,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,VinaPhone,10,1
Nam,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,VinaPhone,76,1
Nu,DangCoGiaDinh,TXTN,Trung,TraTruoc,Viettel,65,2
Nu,ChuaLapGiaDinh,CongNhan,Trung,TraTruoc,Viettel,114,1
Nam,ChuaLapGiaDinh,CongNhan,Bac,TraTruoc,Viettel,54,1
Nu,DangCoGiaDinh,TXCN,Nam,TraTruoc,Viettel,73,2
Nu,ChuaLapGiaDinh,KyThuat,Bac,TraTruoc,Viettel,96,1
Nu,DangCoGiaDinh,VHNT,Trung,TraSau,VinaPhone,132,2
Nu,ChuaLapGiaDinh,TXCN,Bac,TraTruoc,Mobiphone,107,1
Nu,DangCoGiaDinh,VHNT,Nam,TraTruoc,Viettel,170,2
Nam,ChuaLapGiaDinh,TXCN,Nam,TraTruoc,VinaPhone,225,1
Nam,DangCoGiaDinh,TXTN,Bac,TraTruoc,Viettel,67,2
Nu,ChuaLapGiaDinh,KyThuat,Nam,TraTruoc,Mobiphone,161,1
Nu,DangCoGiaDinh,TXCN,Bac,TraSau,Viettel,77,2
Nu,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,Mobiphone,117,2
Nam,LyHon,VHNT,Trung,TraSau,Mobiphone,42,3
Nu,DangCoGiaDinh,VHNT,Nam,TraTruoc,VinaPhone,158,2
Nam,ChuaLapGiaDinh,HanhChinh,Trung,TraTruoc,Mobiphone,95,1
Nam,DangCoGiaDinh,HSSV,Bac,TraTruoc,VinaPhone,130,2
Nam,ChuaLapGiaDinh,NCKH,Bac,TraTruoc,Viettel,89,1
Nu,DangCoGiaDinh,HSSV,Nam,TraSau,Viettel,171,2
Nu,ChuaLapGiaDinh,TXCN,Bac,TraTruoc,VinaPhone,19,1
Nam,LyHon,TXTN,Trung,TraTruoc,Mobiphone,86,3
Nu,ChuaLapGiaDinh,TXTN,Trung,TraTruoc,Viettel,0,1
Nu,ChuaLapGiaDinh,TXCN,Bac,TraSau,Viettel,37,1
Nam,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,Viettel,129,2
Nu,DangCoGiaDinh,KyThuat,Nam,TraTruoc,VinaPhone,101,2
Nam,DangCoGiaDinh,TXCN,Nam,TraTruoc,VinaPhone,208,2
Nam,ChuaLapGiaDinh,HanhChinh,Nam,TraTruoc,VinaPhone,145,1
Nu,DangCoGiaDinh,TXTN,Bac,TraSau,VinaPhone,86,2
Nam,DangCoGiaDinh,CongNhan,Trung,TraTruoc,VinaPhone,154,2
Nam,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,VinaPhone,128,2
Nam,ChuaLapGiaDinh,TXTN,Bac,TraTruoc,VinaPhone,77,1
Nu,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,Mobiphone,171,1
Nam,DangCoGiaDinh,CongNhan,Bac,TraTruoc,VinaPhone,25,2
Nam,DangCoGiaDinh,HanhChinh,Bac,TraTruoc,Viettel,19,2
Nu,DangCoGiaDinh,TXCN,Nam,TraSau,Viettel,76,2
Nam,ChuaLapGiaDinh,CongNhan,Trung,TraTruoc,Viettel,121,1
Nam,ChuaLapGiaDinh,TXTN,Bac,TraTruoc,Viettel,67,1
Nu,ChuaLapGiaDinh,LaoDongDacBiet,Trung,TraTruoc,S-Phone,116,1
Nam,ChuaLapGiaDinh,HanhChinh,Trung,TraSau,Mobiphone,149,1
Nam,DangCoGiaDinh,CongNhan,Bac,TraTruoc,Mobiphone,122,2
Nam,DangCoGiaDinh,TXTN,Bac,TraTruoc,Beeline,157,2
Nam,ChuaLapGiaDinh,CongNhan,Nam,TraSau,Viettel,182,1
Nam,LyHon,TXTN,Bac,TraSau,Viettel,51,3
Nam,ChuaLapGiaDinh,KyThuat,Trung,TraTruoc,Mobiphone,127,1
Nu,LyHon,TXCN,Trung,TraTruoc,Mobiphone,136,3
Nam,DangCoGiaDinh,TXCN,Nam,TraTruoc,VinaPhone,154,2
Nam,DangCoGiaDinh,NCKH,Trung,TraSau,VinaPhone,143,2
Nam,DangCoGiaDinh,CongNhan,Trung,TraSau,Viettel,151,2
Nam,DangCoGiaDinh,TXTN,Bac,TraTruoc,Mobiphone,124,2
Nu,DangCoGiaDinh,TXCN,Nam,TraTruoc,VinaPhone,146,2
Nam,DangCoGiaDinh,VHNT,Trung,TraSau,VinaPhone,114,2
Nam,ChuaLapGiaDinh,TXCN,Trung,TraSau,Mobiphone,35,1
Nam,ChuaLapGiaDinh,TXCN,Nam,TraTruoc,Mobiphone,201,1
Nam,DangCoGiaDinh,VHNT,Bac,TraTruoc,VinaPhone,123,2
Nam,ChuaLapGiaDinh,VHNT,Nam,TraTruoc,Viettel,175,1
Nam,DangCoGiaDinh,CongNhan,Bac,TraTruoc,VinaPhone,82,2
Nu,DangCoGiaDinh,TXCN,Trung,TraSau,VinaPhone,209,2
Nam,ChuaLapGiaDinh,CongNhan,Bac,TraSau,VinaPhone,57,1
Nam,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,Viettel,45,2
Nu,ChuaLapGiaDinh,VHNT,Bac,TraSau,VinaPhone,123,1
Nu,ChuaLapGiaDinh,TXTN,Nam,TraSau,Mobiphone,220,1
Nam,DangCoGiaDinh,HanhChinh,Bac,TraTruoc,Mobiphone,141,2
Nu,DangCoGiaDinh,CongNhan,Nam,TraTruoc,VinaPhone,107,2
Nam,LyHon,LaoDongDacBiet,Bac,TraTruoc,Mobiphone,146,3
Nam,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,VinaPhone,151,1
Nam,DangCoGiaDinh,KyThuat,Nam,TraTruoc,VinaPhone,180,2
Nu,DangCoGiaDinh,CongNhan,Bac,TraTruoc,Viettel,44,2
Nu,ChuaLapGiaDinh,CongNhan,Trung,TraTruoc,VinaPhone,145,1
Nam,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,Mobiphone,148,1
Nu,DangCoGiaDinh,TXCN,Nam,TraTruoc,Viettel,82,2
Nu,ChuaLapGiaDinh,VHNT,Nam,TraTruoc,Mobiphone,101,1
Nam,DangCoGiaDinh,LaoDongDacBiet,Bac,TraTruoc,VinaPhone,57,2
Nam,DangCoGiaDinh,TXCN,Trung,TraTruoc,Mobiphone,123,2
Nu,ChuaLapGiaDinh,VHNT,Trung,TraTruoc,Mobiphone,110,1
Nu,DangCoGiaDinh,TXCN,Bac,TraSau,Viettel,0,2
Nu,DangCoGiaDinh,VHNT,Nam,TraTruoc,Viettel,159,2
Nu,ChuaLapGiaDinh,TXTN,Trung,TraTruoc,VinaPhone,15,1
Nam,ChuaLapGiaDinh,TXCN,Trung,TraTruoc,Viettel,0,1
Nam,ChuaLapGiaDinh,CongNhan,Bac,TraTruoc,Mobiphone,126,1
Nam,DangCoGiaDinh,TXTN,Trung,TraTruoc,VinaPhone,87,2
Nam,DangCoGiaDinh,CongNhan,Nam,TraTruoc,VinaPhone,158,2
Nu,DangCoGiaDinh,CongNhan,Bac,TraTruoc,Vietnamobile,201,2
Nu,DangCoGiaDinh,TXTN,Trung,TraSau,Viettel,113,2
Nam,DangCoGiaDinh,TXTN,Trung,TraTruoc,Viettel,73,2
Nam,DangCoGiaDinh,KyThuat,Nam,TraTruoc,Mobiphone,148,2
Nu,ChuaLapGiaDinh,KyThuat,Bac,TraSau,VinaPhone,125,1
Nu,DangCoGiaDinh,TXCN,Trung,TraTruoc,VinaPhone,118,2
Nam,DangCoGiaDinh,VHNT,Nam,TraTruoc,Mobiphone,45,2
Nam,DangCoGiaDinh,KyThuat,Trung,TraSau,VinaPhone,117,2
Nu,DangCoGiaDinh,KyThuat,Nam,TraSau,VinaPhone,6,2
Nam,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,VinaPhone,183,1
Nu,DangCoGiaDinh,TXCN,Bac,TraTruoc,VinaPhone,26,2
Nam,DangCoGiaDinh,TXCN,Trung,TraTruoc,Mobiphone,36,2
Nu,DangCoGiaDinh,VHNT,Bac,TraTruoc,Beeline,107,2
Nu,DangCoGiaDinh,TXCN,Bac,TraSau,VinaPhone,166,2
Nu,DangCoGiaDinh,TXCN,Nam,TraTruoc,Viettel,171,2
Nam,DangCoGiaDinh,CongNhan,Trung,TraSau,Viettel,135,2
Nu,ChuaLapGiaDinh,KyThuat,Trung,TraTruoc,Viettel,61,1
Nam,ChuaLapGiaDinh,NCKH,Bac,TraTruoc,VinaPhone,56,1
Nu,DangCoGiaDinh,TXTN,Bac,TraTruoc,Mobiphone,72,2
Nam,ChuaLapGiaDinh,TXCN,Bac,TraTruoc,Mobiphone,1,1
Nu,DangCoGiaDinh,TXCN,Bac,TraTruoc,Viettel,17,2
Nam,DangCoGiaDinh,TXCN,Bac,TraTruoc,VinaPhone,110,2
Nam,ChuaLapGiaDinh,HanhChinh,Nam,TraTruoc,Viettel,187,1
Nam,ChuaLapGiaDinh,TXCN,Nam,TraTruoc,VinaPhone,181,1
Nu,ChuaLapGiaDinh,HanhChinh,Nam,TraSau,S-Phone,119,1
Nu,ChuaLapGiaDinh,HanhChinh,Nam,TraSau,Viettel,141,1
Nu,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,VinaPhone,99,1
Nam,LyHon,TXCN,Bac,TraTruoc,VinaPhone,93,3
Nam,DangCoGiaDinh,CongNhan,Trung,TraTruoc,VinaPhone,139,2
Nam,DangCoGiaDinh,TXCN,Trung,TraTruoc,Viettel,144,2
Nam,DangCoGiaDinh,TXTN,Trung,TraSau,Viettel,27,2
Nu,DangCoGiaDinh,VHNT,Nam,TraTruoc,Mobiphone,97,2
Nam,DangCoGiaDinh,VHNT,Nam,TraSau,Mobiphone,164,2
Nu,DangCoGiaDinh,HanhChinh,Bac,TraTruoc,VinaPhone,124,2
Nam,ChuaLapGiaDinh,CongNhan,Bac,TraSau,Mobiphone,87,1
Nu,DangCoGiaDinh,VHNT,Nam,TraSau,VinaPhone,194,2
Nu,LyHon,HanhChinh,Trung,TraTruoc,VinaPhone,40,3
Nam,LyHon,TXCN,Bac,TraTruoc,Viettel,235,3
Nu,ChuaLapGiaDinh,TXCN,Nam,TraTruoc,EVNTelecom,174,1
Nam,LyHon,HSSV,Trung,TraTruoc,Mobiphone,96,3
Nam,DangCoGiaDinh,TXCN,Nam,TraSau,Viettel,122,2
Nam,ChuaLapGiaDinh,VHNT,Trung,TraSau,Viettel,152,1
Nam,ChuaLapGiaDinh,TXCN,Nam,TraSau,Viettel,114,1
Nu,ChuaLapGiaDinh,TXTN,Trung,TraTruoc,VinaPhone,73,1
Nu,LyHon,CongNhan,Nam,TraTruoc,Viettel,135,3
Nu,DangCoGiaDinh,KyThuat,Trung,TraTruoc,VinaPhone,141,2
Nu,ChuaLapGiaDinh,HSSV,Bac,TraTruoc,Viettel,112,1
Nam,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,Viettel,161,2
Nam,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,Viettel,117,1
Nam,DangCoGiaDinh,TXCN,Bac,TraTruoc,Viettel,16,2
Nu,ChuaLapGiaDinh,TXTN,Trung,TraTruoc,Viettel,131,1
Nam,LyHon,HanhChinh,Nam,TraTruoc,VinaPhone,172,3
Nu,ChuaLapGiaDinh,CongNhan,Bac,TraSau,VinaPhone,74,1
Nam,ChuaLapGiaDinh,HanhChinh,Bac,TraTruoc,Mobiphone,85,1
Nam,ChuaLapGiaDinh,NCKH,Nam,TraTruoc,Mobiphone,194,1
Nu,DangCoGiaDinh,TXCN,Trung,TraSau,Mobiphone,140,2
Nam,DangCoGiaDinh,TXTN,Nam,TraTruoc,Viettel,148,2
Nam,DangCoGiaDinh,CongNhan,Nam,TraSau,Vietnamobile,109,2
Nu,ChuaLapGiaDinh,KyThuat,Trung,TraTruoc,Viettel,18,1
Nam,ChuaLapGiaDinh,TXTN,Bac,TraSau,VinaPhone,73,1
Nu,DangCoGiaDinh,KyThuat,Bac,TraTruoc,Mobiphone,55,2
Nam,DangCoGiaDinh,TXCN,Nam,TraTruoc,Mobiphone,172,2
Nam,DangCoGiaDinh,CongNhan,Nam,TraSau,VinaPhone,70,2
Nu,ChuaLapGiaDinh,CongNhan,Bac,TraTruoc,Mobiphone,144,1
Nu,ChuaLapGiaDinh,HanhChinh,Bac,TraTruoc,Mobiphone,61,1
Nu,ChuaLapGiaDinh,KyThuat,Bac,TraTruoc,Viettel,104,1
Nam,ChuaLapGiaDinh,TXCN,Nam,TraTruoc,Viettel,112,1
Nam,LyHon,HanhChinh,Trung,TraTruoc,Mobiphone,251,3
Nu,ChuaLapGiaDinh,LaoDongDacBiet,Bac,TraTruoc,Mobiphone,169,1
Nam,DangCoGiaDinh,HanhChinh,Nam,TraSau,Viettel,123,2
Nam,ChuaLapGiaDinh,HSSV,Nam,TraTruoc,Beeline,162,1
Nam,ChuaLapGiaDinh,CongNhan,Bac,TraTruoc,VinaPhone,117,1
Nam,DangCoGiaDinh,CongNhan,Bac,TraTruoc,VinaPhone,86,2
Nam,DangCoGiaDinh,LaoDongDacBiet,Bac,TraSau,VinaPhone,176,2
Nu,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,EVNTelecom,163,1
Nam,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,Viettel,206,2
Nu,DangCoGiaDinh,TXTN,Bac,TraTruoc,Viettel,57,2
Nam,ChuaLapGiaDinh,CongNhan,Bac,TraSau,VinaPhone,51,1
Nu,ChuaLapGiaDinh,KyThuat,Nam,TraSau,VinaPhone,163,1
Nu,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,Mobiphone,109,2
Nu,LyHon,CongNhan,Bac,TraTruoc,Viettel,108,3
Nu,ChuaLapGiaDinh,CongNhan,Bac,TraTruoc,Mobiphone,78,1
Nam,DangCoGiaDinh,NCKH,Trung,TraSau,Mobiphone,150,2
Nu,DangCoGiaDinh,CongNhan,Trung,TraSau,Mobiphone,104,2
Nam,LyHon,KyThuat,Trung,TraTruoc,Mobiphone,168,3
Nu,DangCoGiaDinh,HanhChinh,Bac,TraTruoc,Viettel,124,2
Nam,DangCoGiaDinh,KyThuat,Bac,TraTruoc,Viettel,229,2
Nam,DangCoGiaDinh,NCKH,Nam,TraSau,Viettel,109,2
Nu,DangCoGiaDinh,CongNhan,Nam,TraTruoc,Viettel,137,2
Nu,DangCoGiaDinh,HanhChinh,Bac,TraTruoc,Viettel,122,2
Nu,DangCoGiaDinh,KyThuat,Trung,TraSau,Viettel,155,2
Nam,LyHon,HanhChinh,Nam,TraTruoc,Beeline,214,3
Nam,ChuaLapGiaDinh,KyThuat,Trung,TraSau,Viettel,105,1
Nam,DangCoGiaDinh,HanhChinh,Bac,TraTruoc,EVNTelecom,41,2
Nam,DangCoGiaDinh,HSSV,Trung,TraTruoc,S-Phone,144,2
Nam,DangCoGiaDinh,HanhChinh,Bac,TraSau,Mobiphone,177,2
Nam,ChuaLapGiaDinh,HanhChinh,Bac,TraTruoc,VinaPhone,110,1
Nam,DangCoGiaDinh,TXCN,Nam,TraTruoc,Mobiphone,206,2
Nam,DangCoGiaDinh,TXCN,Trung,TraTruoc,Viettel,138,2
Nam,DangCoGiaDinh,CongNhan,Nam,TraTruoc,Viettel,143,2
Nam,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,Viettel,158,2
Nam,DangCoGiaDinh,CongNhan,Bac,TraTruoc,Viettel,126,2
Nam,ChuaLapGiaDinh,HSSV,Trung,TraTruoc,Mobiphone,76,1
Nam,ChuaLapGiaDinh,TXCN,Bac,TraTruoc,Mobiphone,70,1
Nam,ChuaLapGiaDinh,NCKH,Trung,TraTruoc,Viettel,162,1
Nam,DangCoGiaDinh,KyThuat,Nam,TraTruoc,Viettel,196,2
Nu,ChuaLapGiaDinh,KyThuat,Nam,TraTruoc,Mobiphone,182,1
Nam,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,Viettel,152,1
Nam,ChuaLapGiaDinh,KyThuat,Bac,TraTruoc,Viettel,60,1
Nam,DangCoGiaDinh,TXCN,Trung,TraTruoc,VinaPhone,88,2
Nam,DangCoGiaDinh,TXTN,Trung,TraTruoc,VinaPhone,72,2
Nam,ChuaLapGiaDinh,TXCN,Nam,TraSau,Viettel,163,1
Nam,ChuaLapGiaDinh,HanhChinh,Bac,TraSau,Mobiphone,172,1
Nam,DangCoGiaDinh,CongNhan,Trung,TraSau,Mobiphone,104,2
Nam,ChuaLapGiaDinh,HanhChinh,Nam,TraTruoc,Viettel,160,1
Nam,DangCoGiaDinh,HSSV,Bac,TraTruoc,Viettel,129,2
Nam,DangCoGiaDinh,TXTN,Trung,TraTruoc,Viettel,111,2
Nu,DangCoGiaDinh,KyThuat,Trung,TraTruoc,Viettel,160,2
Nu,LyHon,TXTN,Trung,TraSau,EVNTelecom,144,3
Nu,DangCoGiaDinh,TXCN,Trung,TraTruoc,VinaPhone,113,2
Nam,ChuaLapGiaDinh,KyThuat,Bac,TraTruoc,Viettel,100,1
Nam,ChuaLapGiaDinh,HanhChinh,Nam,TraTruoc,Mobiphone,69,1
Nu,ChuaLapGiaDinh,TXCN,Trung,TraTruoc,Viettel,90,1
Nam,ChuaLapGiaDinh,HanhChinh,Trung,TraSau,Mobiphone,104,1
Nu,DangCoGiaDinh,TXTN,Trung,TraTruoc,VinaPhone,104,2
Nu,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,VinaPhone,200,1
Nu,DangCoGiaDinh,CongNhan,Trung,TraTruoc,Viettel,128,2
Nam,ChuaLapGiaDinh,TXCN,Nam,TraTruoc,Viettel,169,1
Nam,DangCoGiaDinh,CongNhan,Nam,TraSau,Viettel,180,2
Nu,DangCoGiaDinh,CongNhan,Bac,TraTruoc,VinaPhone,88,2
Nam,DangCoGiaDinh,HanhChinh,Nam,TraSau,Viettel,172,2
Nam,DangCoGiaDinh,TXTN,Nam,TraTruoc,Viettel,129,2
Nu,ChuaLapGiaDinh,TXCN,Trung,TraTruoc,VinaPhone,164,1
Nam,ChuaLapGiaDinh,VHNT,Trung,TraTruoc,Mobiphone,133,1
Nu,ChuaLapGiaDinh,TXCN,Nam,TraSau,Mobiphone,129,1
Nu,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,Viettel,118,2
Nu,ChuaLapGiaDinh,CongNhan,Trung,TraTruoc,Viettel,64,1
Nam,ChuaLapGiaDinh,KyThuat,Trung,TraSau,Mobiphone,111,1
Nu,ChuaLapGiaDinh,HanhChinh,Trung,TraTruoc,VinaPhone,55,1
Nu,DangCoGiaDinh,VHNT,Nam,TraSau,Mobiphone,173,2
Nam,DangCoGiaDinh,HanhChinh,Bac,TraTruoc,Viettel,158,2
Nu,ChuaLapGiaDinh,TXCN,Trung,TraTruoc,Viettel,157,1
Nam,LyHon,LaoDongDacBiet,Trung,TraTruoc,VinaPhone,145,3
Nu,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,Vietnamobile,229,2
Nu,LyHon,TXTN,Bac,TraTruoc,Viettel,73,3
Nu,ChuaLapGiaDinh,TXCN,Bac,TraTruoc,VinaPhone,105,1
Nu,LyHon,VHNT,Trung,TraTruoc,VinaPhone,159,3
Nam,DangCoGiaDinh,KyThuat,Bac,TraTruoc,Viettel,67,2
Nu,LyHon,KyThuat,Nam,TraSau,Viettel,60,3
Nam,DangCoGiaDinh,CongNhan,Nam,TraSau,Mobiphone,86,2
Nu,DangCoGiaDinh,KyThuat,Trung,TraSau,Mobiphone,114,2
Nam,DangCoGiaDinh,CongNhan,Nam,TraTruoc,Mobiphone,71,2
Nam,ChuaLapGiaDinh,CongNhan,Trung,TraTruoc,Mobiphone,135,1
Nam,ChuaLapGiaDinh,TXCN,Bac,TraSau,Viettel,92,1
Nu,ChuaLapGiaDinh,HanhChinh,Trung,TraSau,Viettel,45,1
Nu,DangCoGiaDinh,VHNT,Bac,TraSau,Mobiphone,183,2
Nam,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,Beeline,227,2
Nu,DangCoGiaDinh,VHNT,Bac,TraTruoc,Mobiphone,95,2
Nam,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,VinaPhone,39,2
Nam,ChuaLapGiaDinh,KyThuat,Trung,TraTruoc,VinaPhone,117,1
Nu,ChuaLapGiaDinh,VHNT,Bac,TraTruoc,Mobiphone,58,1
Nu,ChuaLapGiaDinh,HanhChinh,Trung,TraSau,VinaPhone,116,1
Nam,DangCoGiaDinh,VHNT,Nam,TraTruoc,Mobiphone,137,2
Nam,DangCoGiaDinh,CongNhan,Trung,TraSau,VinaPhone,116,2
Nu,DangCoGiaDinh,HanhChinh,Trung,TraSau,Vietnamobile,147,2
Nam,LyHon,CongNhan,Trung,TraTruoc,Viettel,90,3
Nam,ChuaLapGiaDinh,KyThuat,Nam,TraTruoc,VinaPhone,139,1
Nu,DangCoGiaDinh,CongNhan,Trung,TraTruoc,Viettel,174,2
Nam,DangCoGiaDinh,VHNT,Nam,TraTruoc,VinaPhone,262,2
Nu,ChuaLapGiaDinh,CongNhan,Bac,TraSau,Viettel,125,1
Nu,ChuaLapGiaDinh,KyThuat,Bac,TraTruoc,VinaPhone,14,1
Nam,ChuaLapGiaDinh,NCKH,Bac,TraTruoc,Mobiphone,167,1
Nu,ChuaLapGiaDinh,TXTN,Trung,TraTruoc,Mobiphone,186,1
Nu,ChuaLapGiaDinh,TXCN,Nam,TraTruoc,Mobiphone,219,1
Nu,LyHon,HanhChinh,Bac,TraTruoc,Viettel,112,3
Nu,DangCoGiaDinh,KyThuat,Nam,TraTruoc,Viettel,128,2
Nu,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,Mobiphone,96,2
Nu,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,VinaPhone,137,2
Nam,ChuaLapGiaDinh,CongNhan,Trung,TraTruoc,VinaPhone,188,1
Nam,DangCoGiaDinh,KyThuat,Trung,TraTruoc,Mobiphone,104,2
Nu,DangCoGiaDinh,HSSV,Trung,TraTruoc,Mobiphone,65,2
